Source,Target
0,18298
6,39114
13,14
13,310
13,413
13,652
13,924
13,982
13,1018
13,1314
13,1384
13,1488
13,1724
13,1847
13,1960
13,3021
13,3022
13,3024
13,3025
13,3051
13,3668
13,3767
13,3917
13,4039
13,4115
13,5001
13,5006
13,5044
13,5057
13,5095
13,5140
13,5141
13,5379
13,7111
13,7385
13,8084
13,10040
13,10760
13,13513
13,13518
13,13524
13,13533
13,13561
13,14701
13,15424
13,18250
13,20276
13,22278
13,22670
13,26233
13,26987
13,26991
13,26995
13,36741
13,36775
13,36842
13,38609
13,40287
13,42946
13,48181
13,48743
13,48988
13,25
13,685
13,856
13,1301
13,1571
13,1575
13,3029
13,3053
13,3500
13,3914
13,5002
13,7266
13,11664
13,12431
13,13540
13,13565
13,14228
13,14702
13,14761
13,16284
13,18437
13,22742
13,24980
13,24988
13,26988
13,28381
13,29845
13,33480
13,36844
13,36854
13,37713
13,37805
13,38591
13,40509
13,40673
13,40821
13,40844
13,40877
13,41110
13,41163
13,41271
13,43071
13,44007
13,44223
13,45402
13,46685
13,46778
13,47524
13,48570
13,48571
13,49374
13,49713
13,49852
13,50083
13,51482
13,51808
13,52717
14,3029
33,874
33,7111
55,20862
79,7128
79,14996
79,3484
79,8079
79,8113
98,11625
122,1762
122,3043
128,630
145,12354
145,7197
145,13104
146,332
146,3624
146,7197
146,53206
147,22043
157,10565
161,8177
164,1488
195,4153
197,7263
217,34
217,116
217,250
217,465
217,621
217,657
217,703
217,1096
217,1101
217,1135
217,1575
217,1611
217,1634
217,1646
217,1653
217,1661
217,1730
217,1781
217,1828
217,1881
217,2003
217,3549
217,3762
217,3986
217,4171
217,5319
217,5320
217,5371
217,7009
217,7019
217,7056
217,7180
217,7189
217,7238
217,8022
217,8043
217,8049
217,8100
217,10099
217,12099
217,15758
217,15884
217,15962
217,16805
217,16807
217,16808
217,19296
217,19298
217,19366
217,19611
217,20683
217,22167
217,22273
217,22275
217,22428
217,25019
217,25162
217,25873
217,26499
217,26502
217,36598
217,1038
217,1660
217,3173
217,3624
217,3767
217,5127
217,7197
217,8089
217,20498
217,37859
217,38933
217,41224
217,43612
217,44436
217,50124
217,50306
217,50394
217,50446
217,50528
217,50551
217,50553
217,50892
217,51095
217,52432
217,53247
217,53416
217,53675
227,46963
249,33436
255,11625
259,7064
264,7059
267,1762
272,1598
272,12969
272,16923
272,22020
272,3595
272,10084
272,17164
272,27727
272,30727
272,38481
272,44767
279,1558
291,2081
291,7126
291,14262
291,14302
291,3029
291,14228
291,19168
291,28306
291,37647
291,43535
291,47071
293,7197
298,1488
301,14996
310,7197
316,27727
317,1488
318,1384
318,3888
332,898
332,1615
332,1777
332,3201
332,8095
332,46607
332,52462
332,52941
332,1762
332,7005
332,15815
333,3640
344,12965
352,630
352,3029
360,18391
360,42824
360,1384
360,1558
360,38127
360,42797
360,45859
360,47615
360,55075
375,10173
375,2022
375,3029
375,3257
375,3595
375,3624
375,7197
375,8078
375,12988
375,26990
375,27708
375,39890
394,663
394,3624
394,7111
395,138
395,631
395,656
395,1367
395,1450
395,1695
395,2007
395,2081
395,3579
395,5034
395,7383
395,18281
395,27334
395,44303
395,46616
395,48942
395,50021
395,1238
395,1281
395,3213
395,3271
395,3484
395,7031
395,7169
395,9004
395,18277
395,27340
395,27343
395,38842
395,41672
395,46617
395,50025
395,50066
395,50133
417,3257
417,7164
417,7197
449,3595
461,147
461,1635
461,3830
461,13005
461,7023
461,7197
461,27761
465,461
465,217
465,3043
465,4001
465,15152
465,55084
467,8043
470,41497
470,96331
504,1092
504,16333
504,49046
504,3257
504,3640
504,4001
504,7164
504,7252
504,12344
504,13810
504,20765
504,27644
504,28306
504,28617
504,29001
504,30621
504,35559
531,17006
534,7343
559,17
559,164
559,205
559,217
559,229
559,271
559,317
559,560
559,561
559,587
559,627
559,628
559,630
559,636
559,735
559,1078
559,1314
559,1488
559,1555
559,1617
559,1661
559,1662
559,2073
559,2120
559,3046
559,3102
559,3275
559,3279
559,3484
559,3748
559,3803
559,3854
559,3977
559,4112
559,4171
559,7177
559,7212
559,7239
559,7240
559,7337
559,7405
559,8043
559,8072
559,16745
559,16750
559,19268
559,22123
559,26511
559,26531
559,26534
559,26541
559,45431
559,52268
559,565
559,1310
559,1377
559,3257
559,3624
559,3640
559,4001
559,4220
559,7197
559,8016
559,11316
559,11800
559,16751
559,16846
559,38772
559,40524
559,42438
559,45872
559,52055
560,1555
560,8118
561,559
578,8051
578,10173
578,40330
581,7364
583,853
591,11661
592,3105
593,898
595,3595
606,3640
607,971
607,1617
607,7197
627,1759
627,7252
628,250
628,651
628,1384
628,1901
628,7104
628,8043
628,8101
628,8118
628,10220
628,16745
628,24894
628,1062
628,1488
628,2022
628,3029
628,3094
628,3257
628,3595
628,3624
628,7111
628,7197
628,8079
628,10706
630,67
630,279
630,332
630,480
630,641
630,642
630,651
630,703
630,744
630,1316
630,1384
630,1488
630,1634
630,1671
630,1730
630,1847
630,1877
630,1911
630,1919
630,1953
630,3243
630,3319
630,3321
630,3325
630,3762
630,3986
630,4153
630,5036
630,5037
630,5039
630,5041
630,7079
630,7104
630,7358
630,8043
630,8100
630,8118
630,8119
630,8127
630,8162
630,11701
630,13972
630,17719
630,17722
630,17723
630,17724
630,17730
630,17731
630,17914
630,18341
630,18733
630,20453
630,21961
630,30660
630,40396
630,48479
630,352
630,576
630,1901
630,3257
630,3595
630,3640
630,3767
630,3888
630,4215
630,5043
630,7111
630,7138
630,7197
630,8022
630,8143
630,8153
630,10084
630,14881
630,17935
630,22756
630,28143
630,41149
630,45780
630,46826
630,46868
630,48167
630,48397
630,51719
630,52514
630,52545
630,54319
636,217
636,28306
642,630
651,630
669,1349
669,1391
669,1411
669,1493
669,25639
669,39877
685,13
695,1500
699,15296
703,1768
703,2040
703,3012
703,7093
703,26364
703,37411
703,44169
703,512
703,15459
703,22256
703,39357
703,40645
703,47986
703,53120
703,53203
703,53345
703,53552
703,53711
703,53712
723,7197
727,7059
735,3043
735,3767
735,4001
753,3640
753,7111
764,3624
800,7197
803,1384
808,1488
808,21214
833,830
851,7197
853,1845
853,3568
853,17037
853,19266
853,20158
853,44126
853,583
853,16904
853,17038
853,37844
853,38353
853,39085
853,42428
853,43556
853,43937
853,44244
853,47543
853,47705
853,51270
853,53565
853,53582
853,53730
881,8146
898,1877
898,593
898,1908
898,3402
898,3640
898,27784
898,67772
898,99716
901,3257
901,7197
941,3144
941,7197
944,7197
965,217
965,630
965,1384
965,7111
971,3029
971,7111
971,10084
982,561
982,630
982,634
982,781
982,1493
982,1845
982,1960
982,11793
982,4001
982,16809
1013,874
1062,42455
1092,13810
1094,332
1094,363
1097,13810
1099,18841
1144,2022
1144,8131
1144,13712
1156,3102
1156,3105
1195,7197
1220,449
1220,634
1220,636
1220,663
1220,809
1220,1018
1220,1384
1220,1437
1220,1488
1220,1521
1220,1595
1220,1762
1220,1771
1220,1953
1220,3339
1220,3580
1220,3958
1220,4148
1220,5035
1220,5038
1220,5191
1220,7129
1220,7288
1220,8051
1220,8162
1220,11655
1220,11791
1220,16251
1220,16421
1220,17915
1220,19098
1220,20448
1220,21619
1220,22583
1220,24380
1220,26366
1220,39419
1220,45549
1220,649
1220,1759
1220,4144
1220,5073
1220,7197
1220,7250
1220,10801
1220,37823
1220,45189
1220,49998
1220,51151
1220,51724
1220,52508
1220,52536
1226,3257
1230,2022
1230,4001
1232,1400
1232,10156
1237,5061
1237,5240
1237,19865
1237,43074
1238,869
1244,402
1281,395
1294,3888
1304,1759
1309,1762
1309,7197
1309,7343
1310,119
1310,562
1310,1178
1310,1767
1310,8087
1314,1953
1314,1759
1314,3257
1314,4001
1314,7197
1314,10755
1314,10840
1324,77
1324,504
1324,559
1324,578
1324,1200
1324,1593
1324,1617
1324,3009
1324,3100
1324,3830
1324,5107
1324,5314
1324,13496
1324,13975
1324,15061
1324,19074
1324,19273
1324,19503
1324,21095
1324,23094
1324,24728
1324,24938
1324,26404
1324,26437
1324,38774
1324,38892
1324,40369
1324,45134
1324,3766
1324,7118
1324,24940
1324,26447
1324,38949
1324,40362
1324,40436
1324,40552
1324,41940
1324,42741
1324,45685
1324,47001
1324,47221
1324,48369
1324,48860
1324,48861
1327,1384
1327,3257
1327,7197
1353,3513
1353,15501
1353,27957
1360,152
1360,20059
1360,41428
1384,98
1384,116
1384,118
1384,223
1384,295
1384,344
1384,552
1384,607
1384,628
1384,630
1384,636
1384,651
1384,685
1384,702
1384,727
1384,770
1384,788
1384,797
1384,803
1384,832
1384,911
1384,1048
1384,1207
1384,1227
1384,1314
1384,1316
1384,1353
1384,1359
1384,1361
1384,1385
1384,1449
1384,1455
1384,1464
1384,1488
1384,1558
1384,1571
1384,1611
1384,1617
1384,1635
1384,1646
1384,1651
1384,1717
1384,1722
1384,1730
1384,1762
1384,1771
1384,1828
1384,1847
1384,1881
1384,1893
1384,1895
1384,1919
1384,1953
1384,1960
1384,1967
1384,2003
1384,2020
1384,2024
1384,2029
1384,2073
1384,2123
1384,3161
1384,3279
1384,3404
1384,3483
1384,3513
1384,3528
1384,3580
1384,3649
1384,3689
1384,3762
1384,3785
1384,3829
1384,3861
1384,3941
1384,3958
1384,4058
1384,4082
1384,4124
1384,4126
1384,4129
1384,4183
1384,4206
1384,5090
1384,5093
1384,5094
1384,5096
1384,5150
1384,5151
1384,5152
1384,5168
1384,5223
1384,5241
1384,5353
1384,5369
1384,5384
1384,7018
1384,7059
1384,7060
1384,7064
1384,7068
1384,7079
1384,7104
1384,7105
1384,7116
1384,7238
1384,7239
1384,7308
1384,7364
1384,7384
1384,8006
1384,8022
1384,8043
1384,8051
1384,8064
1384,8100
1384,8116
1384,8118
1384,8119
1384,8136
1384,8145
1384,8153
1384,8162
1384,8165
1384,9003
1384,9005
1384,9006
1384,10170
1384,10502
1384,11655
1384,11770
1384,11942
1384,12215
1384,12319
1384,12850
1384,12997
1384,13057
1384,13742
1384,14043
1384,14375
1384,14386
1384,14483
1384,14622
1384,14623
1384,15239
1384,15516
1384,15697
1384,15744
1384,15962
1384,16173
1384,16255
1384,16419
1384,16424
1384,16444
1384,16579
1384,17031
1384,17935
1384,18529
1384,18730
1384,18731
1384,18732
1384,18734
1384,18735
1384,19558
1384,19670
1384,19935
1384,20604
1384,20822
1384,21274
1384,21619
1384,21794
1384,22123
1384,22278
1384,22724
1384,22737
1384,26334
1384,26509
1384,27007
1384,27071
1384,27073
1384,40998
1384,45753
1384,46326
1384,318
1384,360
1384,669
1384,2036
1384,3075
1384,3153
1384,3244
1384,3257
1384,3484
1384,3541
1384,3543
1384,3595
1384,3624
1384,3640
1384,3687
1384,3767
1384,4001
1384,4027
1384,4184
1384,5099
1384,7108
1384,7111
1384,7197
1384,8078
1384,9004
1384,10084
1384,10681
1384,10706
1384,10740
1384,10801
1384,10809
1384,10815
1384,11656
1384,11666
1384,11979
1384,12016
1384,14027
1384,16827
1384,17291
1384,18268
1384,20765
1384,22339
1384,24811
1384,27957
1384,28143
1384,30397
1384,38271
1384,38692
1384,38783
1384,40289
1384,40302
1384,43019
1384,43984
1384,44890
1384,46621
1384,46966
1384,47217
1384,47356
1384,48090
1384,49427
1384,49978
1384,49979
1384,50385
1384,50389
1384,50391
1384,50579
1384,50680
1384,50681
1384,51246
1384,51496
1384,52391
1384,52420
1384,53267
1384,53465
1384,53551
1384,53752
1384,118876
1385,1384
1391,1488
1391,7197
1400,8098
1400,1232
1400,2022
1400,7072
1400,10156
1408,435
1408,504
1408,3415
1408,8085
1408,10389
1411,1759
1411,3257
1411,3595
1411,7197
1414,11625
1416,7020
1417,3
1417,13
1417,79
1417,118
1417,291
1417,394
1417,440
1417,559
1417,560
1417,561
1417,638
1417,644
1417,735
1417,982
1417,1078
1417,1166
1417,1195
1417,1220
1417,1254
1417,1309
1417,1314
1417,1326
1417,1384
1417,1416
1417,1488
1417,1493
1417,1535
1417,1571
1417,1767
1417,1789
1417,1865
1417,1867
1417,1953
1417,2081
1417,3320
1417,3709
1417,3767
1417,3791
1417,5029
1417,7020
1417,7039
1417,7060
1417,7094
1417,7212
1417,7383
1417,7404
1417,8089
1417,8107
1417,8116
1417,8136
1417,8147
1417,8154
1417,14209
1417,15155
1417,18399
1417,26315
1417,34017
1417,34020
1417,34097
1417,34100
1417,34106
1417,45753
1417,95228
1417,565
1417,1165
1417,3057
1417,3103
1417,3257
