Source,Target
0,1941
5,1726
5,3640
11,10658
12,3640
13,856
29,13809
62,3640
62,10258
82,3257
117,1759
128,7007
128,15449
128,8078
128,630
150,19329
160,8017
165,7197
174,3624
174,4001
201,7197
211,611
211,8078
211,44210
211,1519
211,8170
211,3134
211,7164
211,3170
211,8024
211,28306
211,41474
211,20019
211,28015
211,28143
211,3624
211,3640
211,20727
211,1759
211,10706
211,22799
211,4001
211,10566
211,10801
211,10389
211,10258
211,7197
211,3257
217,1038
252,975
252,21592
252,10157
252,3545
252,40860
252,11703
252,7197
264,8004
264,8044
264,11826
264,11904
264,46837
264,11811
264,3673
264,3674
264,7059
264,51596
264,8008
264,7372
264,701
264,39264
264,9010
329,28022
373,7197
395,1238
395,3213
405,4125
412,10706
427,669
469,21180
469,10258
469,7197
509,3624
559,565
559,11800
559,4001
575,10258
620,19840
624,3624
624,3640
624,10289
648,12319
667,3624
669,12105
669,3900
669,21690
669,1692
669,7123
669,7360
669,3923
669,603
669,17182
669,16524
669,37256
669,688
669,3416
669,7188
669,27438
669,1038
669,41117
669,5033
669,7043
669,19595
669,21800
669,20052
669,20050
669,20051
669,20049
669,3594
669,25621
669,5257
669,3640
669,1313
669,7055
669,25627
669,3690
669,3699
669,18273
669,5392
669,10625
669,1504
669,3759
669,40076
669,40026
669,1907
669,38372
669,1925
669,4002
669,4031
669,757
669,22690
669,40109
669,4125
669,37259
669,8019
669,3144
669,9011
669,25635
669,50808
669,2116
669,15347
669,491
669,16488
669,1714
669,1411
669,1651
669,8126
669,632
669,8051
669,42092
669,45409
669,7111
669,3537
669,46589
669,46416
669,20048
669,1349
669,50940
669,1384
669,14755
669,1391
669,39949
669,39877
669,53872
669,1488
669,40168
669,3767
669,1493
669,1762
669,1953
669,49804
669,39951
669,738
669,41828
669,2054
669,10229
669,52511
669,9010
669,9009
669,51065
669,50939
669,50582
669,25639
669,427
688,52011
699,15296
703,47986
715,3402
715,3624
715,3640
715,4001
715,7197
715,3257
738,10585
738,669
738,4001
738,27708
738,10258
741,14170
743,12236
763,1062
763,7197
785,7055
785,3257
806,8078
815,3624
815,7111
815,3640
815,7343
840,24839
840,38607
840,8113
840,12053
843,7197
859,15296
870,117
870,16822
870,10156
870,10159
870,8067
870,17511
870,5404
870,8151
870,3951
870,44855
870,3352
870,5278
870,1366
870,52306
870,42895
870,8113
870,38956
870,1762
870,4001
870,1992
870,14856
870,10296
870,10493
870,10258
870,16681
870,44857
983,10565
999,10565
1051,3624
1051,24851
1062,12032
1062,12031
1062,48653
1062,8078
1062,11446
1062,43508
1062,2047
1062,23746
1062,1651
1062,7128
1062,1730
1062,48331
1062,628
1062,48824
1062,1063
1062,41435
1062,1237
1062,3624
1062,42455
1062,53311
1062,52992
1062,53514
1062,53089
1062,53603
1062,53580
1062,53169
1062,53277
1062,52964
1062,3767
1062,763
1062,8018
1062,19699
1062,22705
1062,3257
1063,1062
1094,45202
1094,11134
1094,4001
1094,10749
1094,332
1094,363
1134,7197
1144,25600
1144,24320
1144,8008
1144,15799
1144,8059
1144,8131
1144,2022
1144,13712
1156,8002
1156,11872
1156,3522
1156,20379
1156,4125
1156,10945
1156,23935
1156,35005
1156,10892
1156,3102
1156,3105
1156,26118
1156,14174
1156,42892
1156,40335
1156,40712
1156,1488
1156,2022
1159,10892
1161,3075
1161,10578
1183,3624
1183,13809
1237,1062
1237,24097
1237,12180
1237,13173
1237,5214
1237,51477
1237,21755
1237,3449
1237,26882
1237,15912
1237,19865
1237,20393
1237,27199
1237,5240
1237,5061
1237,10566
1237,43074
1238,869
1238,7197
1243,7197
1265,3624
1293,4125
1310,11517
1310,688
1310,856
1310,891
1310,8082
1310,8078
1310,1005
1310,3587
1310,33866
1310,15286
1310,18705
1310,11625
1310,715
1310,2043
1310,211
1310,8017
1310,119
1310,562
1310,559
1310,8087
1310,51787
1310,52012
1310,1178
1310,3967
1310,1767
1310,27644
1310,9010
1310,14517
1310,405
1313,43313
1313,46689
1313,3257
