ID,Names
0,未详
1,安惇
3,安焘
6,柴成务
13,晁补之
14,晁端彦
17,陈安石
19,陈察
25,陈洎
33,陈知俭
34,陈执中
47,陈向
55,陈绎
58,陈汝锡
67,陈贯
77,陈升之
78,陈世卿
79,陈师锡
93,陈从易
95,徐越
97,陈尧叟
98,陈尧佐
99,陈尧咨
102,陈彦恭
112,程之邵
113,程之才
114,程之元
116,程戡
118,程琳
119,程迈
121,程博文
122,程师孟
128,程瑀
138,乔执中
145,钱勰
146,钱易
147,钱公辅
150,钱端礼
152,钱遹
157,秦希甫
161,丘雍
164,楚建中
172,湛俞
183,张齐贤
195,张吉甫
197,张颉
205,张景宪
207,张景温
213,张中庸
217,张方平
223,张锡
225,张瓌
227,张孝纯
229,张诜
233,张询
245,张若谷
248,张康国
249,张可久
250,张奎
255,张根
259,张纶
262,张沔
264,张嵲
267,张保雍
271,张掞
272,张商英
275,张升卿
279,张士逊
291,张舜民
293,张肃
295,张唐民
298,张焘
299,张存
301,张璪
305,张宗诲
310,张洞
315,张琬
316,郭思
317,张问
318,张昷之
321,张尧佐
326,张友直
332,张咏
333,章惇
344,章得象
345,章楶
352,赵瞻
353,赵稹
360,赵湘
362,赵亿
363,赵开
375,赵抃
387,赵晟
394,赵挺之
395,赵鼎臣
402,赵扬
404,赵遹
411,郑戬
413,郑仅
417,郑骧
420,李诫
428,郑文宝
433,郏亶
435,贾昌衡
440,贾易
449,贾黯
459,姜遵
461,蒋之奇
462,蒋彝
465,蒋堂
467,蹇周辅
468,蹇序辰
470,金君卿
476,周池
480,周嘉正
483,周之道
487,周沆
504,周敦颐
508,周彦质
512,朱昂
525,牛冕
527,朱勃
531,朱台符
534,朱彦美
535,朱彦博
541,鞠真卿
542,鞠仲谋
545,庄徽
546,庄公岳
552,仲简
554,樊知古
559,范纯仁
560,范纯礼
561,范纯粹
562,范冲
565,范正国
569,范讽
576,范宽之
577,范旻
578,范百禄
581,范师道
583,范峒
586,范子奇
587,范子仪
591,范育
592,范域
593,范雍
595,方宙
597,方偕
606,冯拯
607,冯京
610,冯如晦
620,符行中
621,傅求
627,傅尧俞
628,富弼
630,韩琦
631,韩跂
634,韩缜
636,韩绛
638,韩贽
640,韩晋卿
641,韩璩
642,韩琚
644,韩忠彦
648,韩璜
649,韩绎
651,韩国华
652,韩璹
656,韩粹彦
657,韩综
663,韩宗道
664,韩宗彦
669,韩元吉
672,郝太冲
678,何中立
683,何亮
685,何郯
695,奚屿
698,夏安期
699,夏之文
700,夏倚
702,夏守赟
703,夏竦
705,向敏中
715,向子諲
718,萧固
719,萧贯
722,萧世京
723,萧定基
727,谢绛
728,谢景温
735,鲜于侁
740,熊本
742,徐常
744,徐起
745,徐处仁
753,徐禧
