ID,Names
0,未详
3,安焘
5,查钥
11,晁公武
12,晁公迈
13,晁补之
24,陈正同
29,陈桷
31,陈戬
58,陈汝锡
62,陈康伯
72,陈弥作
79,陈师锡
82,陈璹
97,陈尧叟
98,陈尧佐
99,陈尧咨
101,陈兖
102,陈彦恭
117,程克俊
119,程迈
124,程唐
128,程瑀
145,钱勰
146,钱易
150,钱端礼
157,秦希甫
160,秦梓
165,权邦彦
167,詹太和
169,詹度
174,张阐
184,张觷
191,张震
199,张植
201,张致远
211,张浚
217,张方平
220,张汉彦
238,张汇
252,张纲
255,张根
264,张嵲
272,张商英
291,张舜民
293,张肃
310,张洞
311,张次山
325,张宇
329,张运
332,张咏
333,章惇
336,章服
339,章谊
362,赵亿
363,赵开
364,赵公称
370,赵令詪
372,赵滂
373,赵霈
375,赵抃
394,赵挺之
395,赵鼎臣
400,赵子潚
403,赵旸
404,赵遹
405,折彦质
410,郑绩
412,郑知刚
417,郑骧
420,李诫
427,郑望之
433,郏亶
449,贾黯
461,蒋之奇
462,蒋彝
465,蒋堂
466,蒋璨
469,金安节
474,井度
476,周池
483,周之道
491,周葵
502,周操
504,周敦颐
509,周聿
518,朱宗
527,朱勃
534,朱彦美
538,祝师龙
545,庄徽
550,钟世明
555,樊汝霖
556,樊光远
559,范纯仁
562,范冲
563,范漴
565,范正国
574,范埙
575,范如圭
595,方宙
603,方滋
606,冯拯
607,冯京
610,冯如晦
611,冯康国
612,周利见
620,符行中
624,傅崧卿
627,傅尧俞
628,富弼
630,韩琦
632,韩球
648,韩璜
667,韩彦直
669,韩元吉
679,何逢原
681,何佾
688,贺允中
699,夏之文
701,夏珙
703,夏竦
714,向子忞
715,向子諲
716,萧振
723,萧定基
726,谢伋
735,鲜于侁
738,辛次膺
741,熊彦诗
743,徐琛
745,徐处仁
753,徐禧
757,徐仁杰
763,徐林
764,徐奭
773,徐子寅
780,许几
785,许忻
800,薛向
805,薛良朋
806,薛弼
815,胡直孺
840,黄震
843,黄中
851,黄廉
853,黄裳
856,黄叔敖
859,黄祖舜
863,黄子游
869,洪中孚
870,洪适
885,任文荐
891,康执权
896,康与之
898,寇准
901,孔平仲
908,高象先
941,龚原
944,郭知章
975,李朝正
982,李清臣
983,李椿年
999,李稙
1004,李梲
1005,李擢
1038,李宏
1051,李庚
1055,李公懋
1062,李弥逊
1063,李弥大
1065,李谟
1071,李参
1092,李大临
1094,李焘
1097,李定
1119,李迎
1134,梁汝嘉
1144,廖刚
1149,林安宅
1152,林冲之
1154,林积仁
1156,林之奇
1159,林仲堪
1160,林孝泽
1161,林勋
1165,林保
1167,林师说
1168,林叔豹
1170,林大声
1178,刘拯
1183,刘章
1195,刘奉世
1220,刘攽
1226,刘式
1230,刘述
1232,刘随
1237,刘才邵
1238,刘岑
1243,刘度
1252,刘彦适
1260,柳约
1265,楼璹
1278,鲁詹
1284,陆寘
1286,陆升之
1293,吕稽中
1296,吕祉
1299,吕擢
1304,吕希纯
1309,吕惠卿
1310,吕颐浩
1313,吕广问
1314,吕公着
1322,吕忱中
1327,吕大防
1332,吕源(吕升卿子)
1333,吕用中
1349,马亮
1360,梅执礼
1364,孟嵩
1366,米友仁
1373,万俟卨
1379,聂昌
1384,欧阳修
1388,潘良贵
1391,庞籍
1399,彭合
1400,彭汝砺
1411,包拯
1414,鲍由
1417,毕仲游
1418,毕良史
1439,邵大受
1449,沈遘
1450,沈括
1457,沈枢
1460,沈与求
1478,史正志
1488,司马光
1491,苏迟
1493,苏辙
1496,苏籀
1499,苏符
1504,苏师德
1507,苏策
1519,孙近
1521,孙觉
1542,孙升
1546,孙大雅
1558,宋祁
1562,宋棐
1567,宋贶
1568,宋辉
1571,宋敏求
1575,宋绶
1583,宋?
1590,汤鹏举
1591,汤东野
1593,唐介
1595,唐询
1596,唐义问
1598,唐庚
1602,唐尧封
1629,邓祚
1635,刁约
1641,丁谓
1647,蔡确
1648,蔡肇
1649,蔡京
1651,蔡襄
1653,蔡抗
1661,蔡挺
1668,曹耜
1673,曹泳
1692,曾几
1701,曾怀
1707,曾布
1709,曾慥
1712,曾纡
1714,邹樗
1717,祖无择
1719,都洁
1726,杜莘老
1730,杜衍
1739,董棻
1755,汪恺
1758,汪思温
1759,汪应辰
1760,王安礼
1762,王安石
1767,王钦臣
1786,王之道
1787,王之望
1788,王靖
1792,王秬
1796,王珏
1799,王仲闳
1804,王扶
1806,王复
1807,凌景夏
1837,王冈
1845,王珪
1846,王珪
1847,王拱辰
1852,王纶
1857,王普
1863,王赏
1872,王师心
1875,王时雍
1878,王庶
1883,王绹
1884,王鈇
1898,王琮
1905,王端朝
1907,王次张
1908,王次翁
1924,王曮
1925,王炎
1932,王俣
1935,王趯
1936,王瀹
1940,魏安行
1941,魏杞
1953,文彦博
1955,翁挺
1959,吴潜
1960,吴充
1970,吴芾
1978,吴懋
1979,吴幵
1992,吴说
1993,吴雍
1996,杨椿
2021,杨邦弼
2022,杨时
2036,杨愿
2043,姚舜明
2047,叶份
2049,叶义问
2054,叶梦得
2058,叶颙
2073,晏殊
2074,晏敦复
2091,虞祺
2096,余应求
2098,喻汝砺
2101,宇文时中
2112,元绛
2113,元书
2116,郑思恭
2125,宋藻
3008,常楙
3027,晁子与
3029,晁说之
3033,钱象祖
3037,钱俶
3038,钱佃
3039,钱倧
3043,秦观
3050,陈长方
3059,陈景思
3066,陈岘
3071,陈贵谦
3073,陈贵谊
3075,陈亮
3081,陈师道
3083,陈省华
3088,陈宗召
3092,陈自强
3094,陈渊
3102,程颢
3105,程颐
3109,程大昌
3110,程敦书
3117,詹良臣
3128,张津
3132,张忠恕
3133,张仲梓
3134,张俊
3136,张枃
3144,张孝祥
3162,张郯
3168,张端礼
3170,张子盖
3172,张子颜
3183,章着
3189,章縡
3200,赵汝愚
3213,赵子崧
3225,江寓
3227,姜浩
3232,蒋继周
3240,周之美
3245,周虎
3248,周诜
3251,周元卿
3257,朱熹
3258,朱翌
3263,朱塾
3279,范镇
3281,范溶
3294,方逢辰
3295,方逢吉
3302,方导
3309,傅自得
3322,韩境
3331,韩彦古
3337,何镐
3338,何恢
3352,向仲堪
3355,向澣
3357,向沈
3359,向子韶
3364,萧服
3372,邢世材
3378,徐兢
3381,徐师闵
3382,徐度
3394,胡安国
3395,胡交修
3396,胡坚常
3402,胡寅
3404,胡瑗
3411,黄中美
3416,黄任荣
3417,黄荦
3438,孔武仲
3439,孔文仲
3442,高继勋
3449,高仕戬
3451,高子溶
3462,葛立方
3463,葛邲
3476,李纯德
3482,李结
3483,李建中
3484,李之仪
3502,李孝先
3517,李吕
3520,李弥正
3521,李孟坚
3522,李孟传
3525,李韶
3533,李大性
3534,李大异
3535,李大有
3537,李遵勖
3539,李宗质
3542,李曾伯
3545,李华
3551,李煜
3552,李郁
3565,梁彦深
3569,林枅
3580,刘敞
3581,刘长福
3583,刘跂
3587,刘峤
3591,刘震孙
3593,刘荀
3594,刘一止
3595,刘克庄
3596,刘克逊
3597,刘拱
3615,楼璩
3618,楼异
3623,楼郁
3624,楼钥
3628,鲁訔
3630,陆静之
3631,陆九皋
3632,陆九渊
3633,陆??
3634,陆轸
3635,陆洸
3637,陆宲
3639,陆棠
3640,陆游
3641,陆沅
3646,吕靖
3652,吕大器
3653,吕大同
3655,吕祖俭
3672,毛滂
3673,毛幵
3674,毛友
3676,米芾
3678,莫济
3686,欧阳懋
3690,潘景宪
3691,潘好谦
3692,潘好古
3697,潘友恭
3699,庞谦孺
3707,彭汝方
3718,邵雍
3720,师民瞻
3724,石昼问
3725,史弥坚
3727,史弥远
3728,史嵩之
3735,沈立基
3737,沈度
3747,司马朴
3749,司马遵
3750,司马俨
3758,苏携
3759,苏岘
3765,苏玭
3767,苏轼
3777,孙堪
3807,宋文仲
3816,谭章
3817,谭知古
3818,汤矼
3819,汤颐年
3820,汤宋彦
3850,窦禹钧
3852,蔡衢
3860,蔡戡
3871,曹中
3888,邹浩
3896,宗楷
3897,宗泽
3900,曾崇
3905,曾孝章
3907,曾协
3909,曾敏恭
3910,曾逮
3911,曾从龙
3912,曾炎
3919,杜杲
3920,杜庶
3923,杜铎
3926,杜颖
3933,汪逵
3942,王中行
3947,王震
3948,王正己
3951,王厚之
3955,王修
3958,王回
3959,王衣
3966,王蔺
3967,王令
3976,王审琦
3980,王绹
3993,王淹
3997,王禹偁
4001,魏了翁
4002,魏叔介
4006,吴铨
4008,吴津
4013,吴曦
4024,吴顺之
4025,吴橐
4028,吴炎
4031,翁蒙之
4033,翁彦深
4040,杨震
4043,杨偰
4055,杨宗闵
4056,姚宪
4058,姚辟
4061,姚愈
4070,叶义叟
4122,晏大正
4125,尹焞
4132,虞兟
4136,宇文师说
4142,岳甫
4143,岳霖
4149,胡大时
4158,江衮
4181,鲁詧
5005,徐氏(钱观复妻)
5021,刘氏(周楙母)
5022,王氏(周必大妻)
5030,邵氏(方逢辰妻)
5033,李氏(韩球妻)
5053,陈氏(许景衡妻)
5056,张季兰
5061,薛氏(高仕戬妻)
5062,王静明
5063,翁氏(高子莫妻)
5069,管氏
5074,林节
5075,方氏(刘克逊妻)
5076,向氏(刘光世妻)
5077,汪氏(楼璩妻)
5084,胡氏 (吕申妻)
5086,方氏(吕大同妻)
5087,韩氏（吕祖谦妻）
5088,芮氏(吕祖谦妻)
5091,王氏(孟忠厚妻)
5092,仲灵湛(孟嵩妻)
5097,朱氏(潘景宪妻)
5104,王中(司马遵妻)
5116,龚氏(谭章妻)
5120,方道坚
5145,杨氏(吴懋妻)
5153,赵紫真
5154,刘氏(杨宗闵妻)
5156,房妙光
5160,赵氏(袁任妻)
5161,范普元
5162,戴氏(袁文妻)
5163,边氏(袁燮妻)
5164,赵希怡
5165,史棣卿(袁洪妻)
5166,叶氏(史简妻)
5171,童尚柔
5172,万氏(王十朋母)
5173,贾氏(王十朋妻)
5176,邵氏(时汝翼妻)
5177,杜氏(叶光祖妻)
5178,高氏(叶适妻)
5180,黄德方
5182,林氏(刘克永妻)
5183,林氏(刘弥正妻)
5184,陈氏(林公遇妻)
5185,王净慧
5186,郑氏(方万妻)
5187,林守贞
5188,赵必善
5189,薛氏(方大镛妻)
5190,陈氏(方由之妻)
5192,陶氏(刘宰妻)
5193,梁氏(刘宰妻)
5194,吴静贞
5195,熊氏(刘子羽妻)
5196,陆氏(刘子翚妻)
5197,汤氏(赵必愿妻)
5199,蔡氏(王万枢妻)
5200,沈氏(卫时敏妻)
5201,尚氏(周利见妻)
5202,王氏(周利建妻)
5203,周氏(尚大伸妻)
5204,尚氏(田橡妻)
5205,王氏(刘昱妻)
5207,游氏(黄崇妻)
5208,郑和悟
5210,黄氏(陈衡妻)
5214,朱氏(罗无竞妻)
5215,刘氏(曾敏行母)
5216,裴氏(刘滁妻)
5218,周氏(翟汝霖妻)
5225,朱妙真
5228,惠道素(袁说友妻)
5233,林氏(应茂之妻)
5234,俞氏(乔森妻)
5235,钱氏(郑绛妻)
5236,李珏
5237,胡氏(程叔达母)
5240,彭氏(李发母)
5248,王氏(贾谠母)
5249,巢氏(江万里祖母)
5250,胡氏(江惇提妻)
5254,何氏(周虎母)
5257,卢氏(徐仁杰妻)
5259,傅氏(刘握妻)
5260,莫氏(胡宗伋妻)
5268,潘氏(方天骥妻)
5269,舒氏(竺欣妻)
5275,刘善敬
5277,夏氏(吕师愈妻)
5278,俞氏(罗汝楫妻)
5281,郑氏(何先妻)
5282,宗惠真
5290,王氏(向公援妻)
5293,杜氏(何松妻)
5294,杨氏(杨伸卿女)
5295,史氏(李友直妻)
5297,陆氏(桑庄妻)
5300,虞道永
5303,曹氏(彭蠡妻)
5308,何静恭
5309,薛氏(胡序妻)
5315,王氏(任贤臣妻)
5316,曾德慈
5324,赵汝议
5326,周氏(郭三益母)
5327,吴氏(郎思母)
5338,郑氏(林询母)
5339,刘氏(方采妻)
5341,方氏(刘辉叔妻)
5342,苏氏(苏辙女)
5347,王氏(汪浩妻)
5352,宣氏(赵彦绳妻)
5355,张氏(孙大成妻)
5359,叶妙慧
5361,霍氏
5365,孙氏(王镃妻)
